Item No,Name,kW,Poles,Inertia PN,Inertia Size,Standard Spring PN,Standard Spring,50mm Static Spring PN,50mm Spring,Qty Springs,Pump List,Pump Nett,IP-56 List,IP-56 Nett,IP-66 List,IP-66 Nett,Inertia Nett,Crossbar Nett,Standard Spring Nett,50mm Spring Nett
99817788,NBG 100-80-160/177,18.5,4,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,7657,3828.5,,,,,610.6,284.76,135.26,$288.61
99801365,NBG 150-125-200/196-180,7.5,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,8379,4189.5,,,,,663.42,284.76,153.3,668.94
99801104,NBG 100-65-200/190,18.5,2,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,8293,4146.5,1117.06,558.53,,,610.6,284.76,135.26,$288.61
99796420,NBG 65-40-250/245,18.5,4,92513065,1100 x 800 x 150,91338016,CLM-96,93176760,CWDM-38,4,8654,4327,,,,,610.6,284.76,135.26,$288.61
99801121,NBG 125-80-160/161,18.5,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,8886,4443,,,,,663.42,284.76,153.3,668.94
99801090,NBG 80-50-250/222,18.5,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,8920,4460,,,,,663.42,284.76,153.3,668.94
99801135,NBG 125-100-160/160-154,18.5,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,10932,5466,,,,,663.42,284.76,153.3,668.94
99801088,NBG 80-50-200/219,22,4,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,8183,4091.5,,,,,663.42,284.76,153.3,668.94
99801105,NBG 100-65-200/198,22,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,9039,4519.5,,,,,663.42,284.76,153.3,668.94
99801122,NBG 125-80-160/167,22,2,98327389,1200 x 800 x 200,91338018,CLM-97,93176762,CDM-521,4,10224,5112,866,433,,,663.42,284.76,153.3,668.94
