Item No,Name,Base,Rubber Mount,Qty of Mounts,Pump List,Pump Nett,IP-56 Nett,IP-66 Nett,Base Nett,Rubber Mount Nett
96123530,CR 64-2,,,," $9,649.00 "," $4,824.50 ",,,, $11.83 
96123531,CR 64-3-2,,,," $12,838.00 "," $6,419.00 ",,,, $11.83 
96123532,CR 64-3-1,,,," $12,838.00 "," $6,419.00 ",,,, $11.83 
96123533,CR 64-3,,,," $14,754.00 "," $7,377.00 ",,,, $11.83 
96123534,CR 64-4-2,,,," $15,454.00 "," $7,727.00 ",,,, $11.83 
96123535,CR 64-4-1,,,," $17,156.00 "," $8,578.00 ",,,, $11.83 
96123536,CR 64-4,,,," $17,156.00 "," $8,578.00 ",,,, $11.83 
96123537,CR 64-5-2,,,," $18,303.00 "," $9,151.50 ",,,, $11.83 
96123538,CR 64-5-1,,,," $18,303.00 "," $9,151.50 ",,,, $11.83 
96123539,CR 64-5,,,," $18,303.00 "," $9,151.50 ",,,, $11.83 
96123540,CR 64-6-2,,,," $18,998.00 "," $9,499.00 ",,,, $11.83 
96123541,CR 64-6-1,,,," $22,383.00 "," $11,191.50 ",,,, $11.83 
96123542,CR 64-6,,,," $22,383.00 "," $11,191.50 ",,,, $11.83 
96123543,CR 64-7-2,,,," $23,077.00 "," $11,538.50 ",,,, $11.83 
96123544,CR 64-7-1,,,," $23,077.00 "," $11,538.50 ",,,, $11.83 
96123545,CR 64-7,,,," $30,457.00 "," $15,228.50 ",,,, $11.83 
96123546,CR 64-8-2,,,," $31,146.00 "," $15,573.00 ",,,, $11.83 
96123547,CR 64-8-1,,,," $31,146.00 "," $15,573.00 ",,,, $11.83 
96500326,CR 20-1,,,," $2,637.00 "," $1,318.50 ",,,, $11.83 
96500327,CR 20-2,,,," $3,323.00 "," $1,661.50 ",,,, $11.83 
96500509,CR 20-3,,,," $4,681.00 "," $2,340.50 ",,,, $11.83 
96500510,CR 20-4,,,," $5,534.00 "," $2,767.00 ",,,, $11.83 
96500511,CR 20-5,,,," $5,791.00 "," $2,895.50 ",,,, $11.83 
96500512,CR 20-6,,,," $6,703.00 "," $3,351.50 ",,,, $11.83 
96500513,CR 20-7,,,," $6,965.00 "," $3,482.50 ",,,, $11.83 
96500514,CR 20-8,,,," $8,551.00 "," $4,275.50 ",,,, $11.83 
96500515,CR 20-10,,,," $9,072.00 "," $4,536.00 ",,,, $11.83 
96500516,CR 20-12,,,," $11,081.00 "," $5,540.50 ",,,, $11.83 
96500517,CR 20-14,,,," $11,600.00 "," $5,800.00 ",,,, $11.83 
96500518,CR 20-17,,,," $13,831.00 "," $6,915.50 ",,,, $11.83 
96500963,CR 10-1,,,," $1,919.00 ", $959.50 ,,,, $11.83 
96500964,CR 10-2,,,," $2,113.00 "," $1,056.50 ",,,, $11.83 
96500965,CR 10-3,,,," $2,492.00 "," $1,246.00 ",,,, $11.83 
96500966,CR 10-4,,,," $2,803.00 "," $1,401.50 ",,,, $11.83 
96500967,CR 10-5,,,," $3,045.00 "," $1,522.50 ",,,, $11.83 
96500968,CR 10-6,,,," $3,209.00 "," $1,604.50 ",,,, $11.83 
96500969,CR 10-7,,,," $3,535.00 "," $1,767.50 ",,,, $11.83 
96500970,CR 10-8,,,," $3,699.00 "," $1,849.50 ",,,, $11.83 
96500971,CR 10-9,,,," $3,870.00 "," $1,935.00 ",,,, $11.83 
96500980,CR 10-2,,,," $2,110.00 "," $1,055.00 "," $1,280.00 ",,, $11.83 
96501219,CR 10-10,,,," $4,421.00 "," $2,210.50 ",,,, $11.83 
96501220,CR 10-12,,,," $4,765.00 "," $2,382.50 ",,,, $11.83 
96501221,CR 10-14,,,," $5,554.00 "," $2,777.00 ",,,, $11.83 
96501222,CR 10-16,,,," $5,896.00 "," $2,948.00 ",,,, $11.83 
96501223,CR 10-18,,,," $6,405.00 "," $3,202.50 ",,,, $11.83 
96501224,CR 10-20,,,," $6,742.00 "," $3,371.00 ",,,, $11.83 
96501225,CR 10-22,,,," $7,083.00 "," $3,541.50 ",,,, $11.83 
96501697,CR 15-1,,,," $2,622.00 "," $1,311.00 ",,,, $11.83 
96501698,CR 15-2,,,," $3,305.00 "," $1,652.50 ",,,, $11.83 
96501699,CR 15-3,,,," $3,820.00 "," $1,910.00 ",,,, $11.83 
96501895,CR 15-4,,,," $4,437.00 "," $2,218.50 ",,,, $11.83 
96501896,CR 15-5,,,," $4,657.00 "," $2,328.50 ",,,, $11.83 
96501897,CR 15-6,,,," $5,541.00 "," $2,770.50 ",,,, $11.83 
96501898,CR 15-7,,,," $5,761.00 "," $2,880.50 ",,,, $11.83 
96501899,CR 15-8,,,," $6,704.00 "," $3,352.00 ",,,, $11.83 
96501900,CR 15-9,,,," $6,929.00 "," $3,464.50 ",,,, $11.83 
96501901,CR 15-10,,,," $8,141.00 "," $4,070.50 ",,,, $11.83 
